Choosing an audience and classifying your data,http://schoolofdata.org/handbook/courses/classifying-financial-data/,WorkingWithBudgetAndSpendingData ,scoping analyzing ,basic ,,,,,,,
Cleaning spending data,http://schoolofdata.org/handbook/courses/cleaning-spending-data/,WorkingWithBudgetAndSpendingData ,cleaning scoping ,basic ,,,,,,,
Categorization and reference data,http://schoolofdata.org/handbook/courses/categorisation-and-reference-data/,WorkingWithBudgetAndSpendingData ,scoping ,basic ,,identifiers ,,,,,
What is the difference between budgets and spending?,http://schoolofdata.org/handbook/courses/budgets-and-spending-intro/,WorkingWithBudgetAndSpendingData ,scoping ,basic ,,,,,,,
Extracting Data from PDFs,http://schoolofdata.org/handbook/courses/extracting-data-from-pdf/,GentleIntroExtractingData ,getting ,advanced ,scraping ,, ,process ,,,
Making data on the web useful: scraping,http://schoolofdata.org/handbook/courses/scraping/,GentleIntroExtractingData ,getting ,basic ,scraping ,,chromeScraperExtension ScraperWiki ,,,,
Online geocoding,http://schoolofdata.org/handbook/courses/geocoding/,GentleIntroGeocoding ,cleaning ,basic ,geocoding ,,MapQuest ,,,,
Asking for Data,http://schoolofdata.org/handbook/courses/asking-for-data/,SchoolOfDataJourn ,getting ,basic ,,,,,video ,journalists ,
Making Data Pretty,http://schoolofdata.org/handbook/courses/making-data-pretty/,SchoolOfDataJourn ,visualizing ,basic ,,,Excel GoogleCharts DataWrapper ,,video ,journalists ,
Spending Stories,http://schoolofdata.org/handbook/courses/spending-stories/,SchoolOfDataJourn ,cleaning ,basic ,,,OpenRefine ,,video ,journalists ,
Getting Stories from Data,http://schoolofdata.org/handbook/courses/getting-stories-from-data/,SchoolOfDataJourn ,scoping ,basic ,,,,,video ,journalists ,
A gentle introduction to exploring and understanding your data,http://schoolofdata.org/handbook/courses/gentle-introduction-exploring-and-understanding-data/,IntroExploringData ,analyzing ,basic ,filtering charting pivotTable reshaping ,,LibreOffice ,,,,
Section 4: Did you bring the wrong suitcase (again)?,http://schoolofdata.org/handbook/courses/data-cleaning-wrong-suitcase/,IntroDataCleaning ,cleaning ,basic ,transposition reshaping ,,,spreadsheets ,,,
Section 3: your data is a witch’s brew,http://schoolofdata.org/handbook/courses/data-cleaning-witchs-brew/,IntroDataCleaning ,cleaning ,basic ,,,,spreadsheets ,,,
Courses,http://schoolofdata.org/handbook/courses/,IntroDataCleaning ,cleaning ,basic ,,,,spreadsheets ,,,
"Section 2: the Invisible Man is in your spreadsheet, messing with your data",http://schoolofdata.org/handbook/courses/data-cleaning-invisible-man-in-spreadsheets/,IntroDataCleaning ,cleaning ,basic ,,,,spreadsheets ,,,
Section 1: Nuts and chewing gum,http://schoolofdata.org/handbook/courses/data-cleaning-nuts-and-gum/,IntroDataCleaning ,cleaning ,basic ,,,,spreadsheets ,,,
Course outline: a gentle introduction to cleaning data,http://schoolofdata.org/handbook/courses/data-cleaning/,IntroDataCleaning ,cleaning ,basic ,,,,courseDescription ,,,courseDescription 
Tell me a story: Working out what’s interesting in your data,http://schoolofdata.org/handbook/courses/tell-me-a-story/,DataFundamentals ,communicating ,basic ,,,,,,,
Look Out!: Common Misconceptions and how to avoid them.,http://schoolofdata.org/handbook/courses/common-misconceptions/,DataFundamentals ,analysis communicating ,basic ,critique ,,,,,,
From Data to Diagrams: An introduction to plots and charts,http://schoolofdata.org/handbook/courses/data-to-diagrams/,DataFundamentals ,visualizing ,basic ,,,googlespreadsheets ,,,,
‘But what does it mean?’: Analyzing data (spreadsheets continued),http://schoolofdata.org/handbook/courses/analyzing-data/,DataFundamentals ,analyzing ,basic ,spreadsheets formulas ,,googlespreadsheet ,,,,
Sort and Filter: The basics of spreadsheets,http://schoolofdata.org/handbook/courses/sort-and-filter/,DataFundamentals ,getting ,basic ,previewing sorting filtering ,,googlespreadsheet ,,,,
Finding Data,http://schoolofdata.org/handbook/courses/finding-data/,DataFundamentals ,finding ,basic ,,,,,,,
Data provenance,http://schoolofdata.org/handbook/courses/data-provenance/,DataFundamentals ,managing ,basic ,,,,,,,
What is Data?,http://schoolofdata.org/handbook/courses/what-is-data/,DataFundamentals ,scoping ,basic ,,,,,,,
